,temp,weather,market_value_diff,form_goal_diff,form_win_diff,HF_AD,HF_AG,HM_AM,HD_AF,HG_AF,best_player_diff,worst_player_diff,variance_players_diff,age_diff,goal_diff
623,18,Sunny,170080000,2.6,1.4000000000000001,-4.49015151515151,-19.20833333333333,14.61805555555555,8.359848484848477,24.041666666666664,0.0,1.0,2.611570247933898,-0.3636363636363633,1
624,18,Showers,430450000,-0.8,-1.2000000000000002,11.762626262626256,-2.555555555555557,1.7777777777777715,3.1287878787878753,6.333333333333329,7.0,10.0,-14.198347107438021,1.0909090909090935,3
625,2,Cloudy,25590000,0.0,0.0,8.15909090909092,-6.749999999999986,6.800000000000004,2.6717171717171766,-1.5555555555555571,-6.0,0.0,-33.11496275890215,-2.101010101010104,0
626,2,Breezy,-53790000,0.19999999999999996,0.0,-0.4772727272727195,2.000000000000014,-11.562499999999993,-4.371212121212125,-1.4166666666666714,-9.0,2.0,-16.743801652892564,1.2727272727272734,3
627,12,Cloudy,-59640000,-0.40000000000000013,-0.4,8.693181818181813,-8.125,4.94444444444445,-4.377777777777794,5.222222222222214,-7.0,3.0,-33.50413223140497,1.2727272727272734,-1
628,16,Cloudy,-69410000,-1.2,-0.5999999999999999,-7.897727272727266,-21.125,-3.7916666666666714,-8.462121212121218,2.3333333333333286,-11.0,-6.0,-15.768595041322317,-0.18181818181817988,1
629,6,Cloudy,-53400000,-1.2,-0.6000000000000001,0.46212121212121815,-12.333333333333329,-0.21249999999999147,-4.7424242424242635,-0.9166666666666714,-9.0,-3.0,-16.611570247933884,-1.3636363636363633,2
630,4,Rain,-52710000,0.0,0.20000000000000018,0.03409090909090651,-14.875,3.3958333333333357,3.732323232323232,-52.97222222222222,-7.0,4.0,-59.22314049586777,1.2727272727272734,-1
631,10,Cloudy,53400000,-0.3999999999999999,-0.40000000000000013,7.148989898989896,-7.555555555555557,-0.8541666666666714,-0.6666666666666714,8.5,-1.0,0.0,2.380165289256194,1.8181818181818201,3
632,14,Cloudy,29500000,-0.20000000000000018,-0.3999999999999999,2.0656565656565675,-13.638888888888886,10.30555555555555,6.876262626262644,7.694444444444457,-3.0,4.0,-24.495867768595033,0.0,1
633,11,Cloudy,-45560000,0.19999999999999996,0.3999999999999999,1.992424242424235,-12.916666666666671,8.083333333333336,-3.3838383838383805,4.388888888888886,-7.0,4.0,-44.51165697377817,-1.2373737373737406,-3
634,3,Showers,-67880000,-0.6000000000000001,-1.0,4.929924242424235,-9.979166666666671,5.958333333333336,-4.191919191919197,3.694444444444443,-9.0,9.0,-53.05785123966942,1.1818181818181799,-2
635,6,Cloudy,-5060000,1.6,1.0,-1.4343434343434325,-13.638888888888886,-0.9583333333333286,-3.3522727272727337,9.375,-3.0,2.0,-10.396694214876028,-0.9090909090909065,3
636,16,Showers,-58290000,-1.0,-1.2,-1.7171717171717091,-14.944444444444443,-6.423611111111114,0.1565656565656468,5.2777777777777715,-8.0,-9.0,-5.884297520661146,3.5454545454545467,-1
