,goals_for,goals_against,team,game_id
5301,2.0,1.0,RC Strasbourg,530
5302,3.0,0.0,RC Strasbourg,530
5303,2.0,2.0,RC Strasbourg,530
5304,1.0,1.0,RC Strasbourg,530
5305,1.0,2.0,Paris Saint-Germain FC,530
5306,2.0,0.0,Paris Saint-Germain FC,530
5307,7.0,1.0,Paris Saint-Germain FC,530
5308,4.0,1.0,Paris Saint-Germain FC,530
5309,0.0,5.0,Paris Saint-Germain FC,530
5310,3.0,0.0,Lille OSC,531
5311,3.0,0.0,Lille OSC,531
5312,3.0,1.0,Lille OSC,531
5313,0.0,3.0,Lille OSC,531
5314,0.0,1.0,Lille OSC,531
5315,3.0,1.0,Toulouse FC,531
5316,0.0,0.0,Toulouse FC,531
5317,2.0,1.0,Toulouse FC,531
5318,0.0,0.0,Toulouse FC,531
5319,4.0,2.0,Toulouse FC,531
5320,1.0,2.0,AS Monaco,532
5321,2.0,2.0,AS Monaco,532
5322,1.0,4.0,AS Monaco,532
5323,1.0,1.0,AS Monaco,532
5324,6.0,0.0,AS Monaco,532
5325,3.0,0.0,Angers SCO,532
5326,1.0,1.0,Angers SCO,532
5327,0.0,5.0,Angers SCO,532
5328,2.0,2.0,Angers SCO,532
5329,3.0,2.0,Angers SCO,532
5330,0.0,5.0,OGC Nice,533
5331,3.0,1.0,OGC Nice,533
5332,1.0,1.0,OGC Nice,533
5333,1.0,0.0,OGC Nice,533
5334,1.0,0.0,OGC Nice,533
5335,0.0,2.0,FC Metz,533
5336,0.0,0.0,FC Metz,533
5337,0.0,3.0,FC Metz,533
5338,2.0,0.0,FC Metz,533
5339,1.0,0.0,FC Metz,533
5340,2.0,1.0,Stade Rennais FC,534
5341,2.0,1.0,Stade Rennais FC,534
5342,1.0,0.0,Stade Rennais FC,534
5343,0.0,1.0,Stade Rennais FC,534
5344,1.0,2.0,Stade Rennais FC,534
5345,0.0,2.0,Amiens SCF,534
5346,3.0,0.0,Amiens SCF,534
5347,1.0,1.0,Amiens SCF,534
