,name,position,team,game_id,player_id
188,Sabaly,DF,FC Girondins de Bordeaux,8,80337
189,Toulalan,DM,FC Girondins de Bordeaux,8,1117
190,Jovanović,DF,FC Girondins de Bordeaux,8,101649
191,Pellenard,DF,FC Girondins de Bordeaux,8,85644
192,Vada,MF,FC Girondins de Bordeaux,8,107096
193,Lerager,MF,FC Girondins de Bordeaux,8,80963
194,Sankharé,MF,FC Girondins de Bordeaux,8,11617
195,Malcom,FW,FC Girondins de Bordeaux,8,89633
196,Mendy,FW,FC Girondins de Bordeaux,8,103919
197,Kamano,FW,FC Girondins de Bordeaux,8,93209
198,Mandanda,XX,Olympique de Marseille,9,11353
199,Sakai,DF,Olympique de Marseille,9,27859
200,Rami,DF,Olympique de Marseille,9,8882
201,Rolando,DF,Olympique de Marseille,9,3623
202,Evra,DF,Olympique de Marseille,9,60
203,López,MF,Olympique de Marseille,9,106713
204,Luiz Gustavo,DM,Olympique de Marseille,9,13486
205,Sanson,MF,Olympique de Marseille,9,73514
206,Thauvin,FW,Olympique de Marseille,9,73628
207,Germain,FW,Olympique de Marseille,9,54508
208,Payet,FW,Olympique de Marseille,9,2589
209,Reynet,XX,Dijon FCO,9,62178
210,Rosier,DF,Dijon FCO,9,116905
211,Yambere,DF,Dijon FCO,9,95738
212,Lautoa,DF,Dijon FCO,9,50917
213,Haddadi,DF,Dijon FCO,9,100107
214,Marié,DM,Dijon FCO,9,81786
215,Amalfitano,MF,Dijon FCO,9,50897
216,CH Kwon,AM,Dijon FCO,9,80447
217,Saïd,FW,Dijon FCO,9,79468
218,Sliti,FW,Dijon FCO,9,62655
219,Jeannot,FW,Dijon FCO,9,56457
220,Cardinale,XX,OGC Nice,10,85513
221,Souquet,DF,OGC Nice,10,41303
222,Dante,DF,OGC Nice,10,9099
223,Le Marchand,DF,OGC Nice,10,41029
224,Sarr,DF,OGC Nice,10,111035
225,Koziello,MF,OGC Nice,10,93852
226,Seri,MF,OGC Nice,10,83642
227,Lees-Melou,MF,OGC Nice,10,103598
228,Srarfi,FW,OGC Nice,10,115537
229,Saint-Maximin,FW,OGC Nice,10,82829
230,Pléa,FW,OGC Nice,10,65937
231,Samassa,XX,ES Troyes AC,10,50868
232,Deplagne,DF,ES Troyes AC,10,53701
233,Vizcarrondo,DF,ES Troyes AC,10,10495
234,Hérelle,DF,ES Troyes AC,10,68900
235,Traoré,DF,ES Troyes AC,10,107537
236,Bellugou,DM,ES Troyes AC,10,23394
237,Dingomé,MF,ES Troyes AC,10,73554
238,Grandsir,FW,ES Troyes AC,10,108740
239,Nivet,AM,ES Troyes AC,10,2712
240,Darbion,MF,ES Troyes AC,10,22467
241,Niané,FW,ES Troyes AC,10,80384
242,Diallo,XX,Stade Rennais FC,11,42884
243,Traoré,DF,Stade Rennais FC,11,88262
244,Mexer,DF,Stade Rennais FC,11,43846
245,Gnagnon,DF,Stade Rennais FC,11,106299
246,Bensebaini,DF,Stade Rennais FC,11,95735
247,Maouassa,FW,Stade Rennais FC,11,103902
248,Bourigeaud,MF,Stade Rennais FC,11,90571
249,André,MF,Stade Rennais FC,11,28214
250,Baal,DF,Stade Rennais FC,11,11183
251,Sarr,FW,Stade Rennais FC,11,111005
252,Mubele,FW,Stade Rennais FC,11,98243
253,Lopes,XX,Olympique Lyonnais,11,51203
254,Rafael,DF,Olympique Lyonnais,11,25647
255,Marcelo,DF,Olympique Lyonnais,11,17121
256,Morel,DF,Olympique Lyonnais,11,2625
257,Marçal,DF,Olympique Lyonnais,11,67469
258,Tousart,DM,Olympique Lyonnais,11,103639
259,Sergi Darder,MF,Olympique Lyonnais,11,82232
260,Traore,FW,Olympique Lyonnais,11,67484
261,Fekir,AM,Olympique Lyonnais,11,82010
262,Depay,FW,Olympique Lyonnais,11,68281
263,Mariano,FW,Olympique Lyonnais,11,89032
264,Tătăruşanu,XX,FC Nantes,12,19829
265,Awaziem,DF,FC Nantes,12,106954
266,Diego Carlos,DF,FC Nantes,12,104102
267,Pallois,DF,FC Nantes,12,51219
268,Djidji,DF,FC Nantes,12,73529
269,Kačaniklić,MF,FC Nantes,12,64670
270,Touré,DM,FC Nantes,12,82029
271,Rongier,DM,FC Nantes,12,93214
272,Lima,DF,FC Nantes,12,73439
273,Sala,FW,FC Nantes,12,62170
274,Bammou,FW,FC Nantes,12,93215
275,Mandanda,XX,Olympique de Marseille,12,11353
276,Sakai,DF,Olympique de Marseille,12,27859
277,Rami,DF,Olympique de Marseille,12,8882
278,Rolando,DF,Olympique de Marseille,12,3623
279,Evra,DF,Olympique de Marseille,12,60
280,Luiz Gustavo,DM,Olympique de Marseille,12,13486
281,Zambo Anguissa,DM,Olympique de Marseille,12,98555
282,Thauvin,FW,Olympique de Marseille,12,73628
283,López,MF,Olympique de Marseille,12,106713
284,N Jie,FW,Olympique de Marseille,12,76047
285,Germain,FW,Olympique de Marseille,12,54508
286,Gurtner,XX,Amiens SCF,13,46337
287,Cissokho,DF,Amiens SCF,13,61024
288,Adenon,DF,Amiens SCF,13,15498
289,Bodmer,MF,Amiens SCF,13,2725
290,Dibassy,DF,Amiens SCF,13,110734
291,Fofana,MF,Amiens SCF,13,110592
