,home,away,league,game_id,season,temp,weather_desc,date
46,ES Troyes AC,Toulouse FC,Ligue_1,46,2017-2018,13C,Cloudy,09-Sep-17
47,AS Saint-Etienne,Angers SCO,Ligue_1,47,2017-2018,9C,Cloudy,10-Sep-17
48,Olympique Lyonnais,EA Guingamp,Ligue_1,48,2017-2018,13C,Cloudy,10-Sep-17
49,Olympique de Marseille,Stade Rennais FC,Ligue_1,49,2017-2018,12C,Cloudy,10-Sep-17
50,Toulouse FC,FC Girondins de Bordeaux,Ligue_1,50,2017-2018,11C,Showers,15-Sep-17
51,AS Monaco,RC Strasbourg,Ligue_1,51,2017-2018,14C,Clear,16-Sep-17
52,Dijon FCO,AS Saint-Etienne,Ligue_1,52,2017-2018,7C,Cloudy,16-Sep-17
53,EA Guingamp,Lille OSC,Ligue_1,53,2017-2018,10C,Rain,16-Sep-17
54,FC Nantes,Stade Malherbe Caen,Ligue_1,54,2017-2018,8C,Cloudy,16-Sep-17
55,ES Troyes AC,Montpellier-HSC,Ligue_1,55,2017-2018,13C,Cloudy,16-Sep-17
56,Amiens SCF,Olympique de Marseille,Ligue_1,56,2017-2018,7C,Cloudy,17-Sep-17
57,Angers SCO,FC Metz,Ligue_1,57,2017-2018,13C,Showers,17-Sep-17
58,Stade Rennais FC,OGC Nice,Ligue_1,58,2017-2018,10C,Showers,17-Sep-17
59,Paris Saint-Germain FC,Olympique Lyonnais,Ligue_1,59,2017-2018,11C,Cloudy,17-Sep-17
60,OGC Nice,Angers SCO,Ligue_1,60,2017-2018,14C,Clear,22-Sep-17
61,Lille OSC,AS Monaco,Ligue_1,61,2017-2018,12C,Showers,22-Sep-17
62,Montpellier-HSC,Paris Saint-Germain FC,Ligue_1,62,2017-2018,15C,Cloudy,23-Sep-17
63,FC Girondins de Bordeaux,EA Guingamp,Ligue_1,63,2017-2018,25C,Cloudy,23-Sep-17
64,Stade Malherbe Caen,Amiens SCF,Ligue_1,64,2017-2018,6C,Cloudy,23-Sep-17
65,Olympique Lyonnais,Dijon FCO,Ligue_1,65,2017-2018,23C,Cloudy,23-Sep-17
66,FC Metz,ES Troyes AC,Ligue_1,66,2017-2018,18C,Cloudy,23-Sep-17
67,AS Saint-Etienne,Stade Rennais FC,Ligue_1,67,2017-2018,16C,Cloudy,24-Sep-17
68,RC Strasbourg,FC Nantes,Ligue_1,68,2017-2018,16C,Clear,24-Sep-17
69,Olympique de Marseille,Toulouse FC,Ligue_1,69,2017-2018,13C,Cloudy,24-Sep-17
70,AS Monaco,Montpellier-HSC,Ligue_1,70,2017-2018,18C,Cloudy,29-Sep-17
71,Paris Saint-Germain FC,FC Girondins de Bordeaux,Ligue_1,71,2017-2018,15C,Cloudy,30-Sep-17
72,Dijon FCO,RC Strasbourg,Ligue_1,72,2017-2018,14C,Cloudy,30-Sep-17
73,EA Guingamp,Toulouse FC,Ligue_1,73,2017-2018,15C,Breezy,30-Sep-17
74,FC Nantes,FC Metz,Ligue_1,74,2017-2018,17C,Cloudy,30-Sep-17
75,Stade Rennais FC,Stade Malherbe Caen,Ligue_1,75,2017-2018,16C,Showers,30-Sep-17
76,ES Troyes AC,AS Saint-Etienne,Ligue_1,76,2017-2018,16C,Cloudy,01-Oct-17
77,Angers SCO,Olympique Lyonnais,Ligue_1,77,2017-2018,18C,Cloudy,01-Oct-17
78,OGC Nice,Olympique de Marseille,Ligue_1,78,2017-2018,19C,Cloudy,01-Oct-17
79,Olympique Lyonnais,AS Monaco,Ligue_1,79,2017-2018,9C,Cloudy,13-Oct-17
80,Dijon FCO,Paris Saint-Germain FC,Ligue_1,80,2017-2018,9C,Clear,14-Oct-17
81,Stade Malherbe Caen,Angers SCO,Ligue_1,81,2017-2018,22C,Sunny,14-Oct-17
82,EA Guingamp,Stade Rennais FC,Ligue_1,82,2017-2018,19C,Sunny,14-Oct-17
83,Lille OSC,ES Troyes AC,Ligue_1,83,2017-2018,18C,Cloudy,14-Oct-17
84,AS Saint-Etienne,FC Metz,Ligue_1,84,2017-2018,5C,Cloudy,14-Oct-17
85,Toulouse FC,Amiens SCF,Ligue_1,85,2017-2018,23C,Sunny,14-Oct-17
86,FC Girondins de Bordeaux,FC Nantes,Ligue_1,86,2017-2018,15C,Cloudy,15-Oct-17
87,Montpellier-HSC,OGC Nice,Ligue_1,87,2017-2018,22C,Cloudy,15-Oct-17
88,RC Strasbourg,Olympique de Marseille,Ligue_1,88,2017-2018,7C,Cloudy,15-Oct-17
89,AS Saint-Etienne,Montpellier-HSC,Ligue_1,89,2017-2018,10C,Cloudy,20-Oct-17
90,AS Monaco,Stade Malherbe Caen,Ligue_1,90,2017-2018,14C,Cloudy,21-Oct-17
91,Amiens SCF,FC Girondins de Bordeaux,Ligue_1,91,2017-2018,13C,Breezy,21-Oct-17
92,Angers SCO,Toulouse FC,Ligue_1,92,2017-2018,15C,Cloudy,21-Oct-17
93,FC Metz,Dijon FCO,Ligue_1,93,2017-2018,13C,Showers,21-Oct-17
94,FC Nantes,EA Guingamp,Ligue_1,94,2017-2018,15C,Showers,21-Oct-17
95,Stade Rennais FC,Lille OSC,Ligue_1,95,2017-2018,11C,Cloudy,21-Oct-17
96,OGC Nice,RC Strasbourg,Ligue_1,96,2017-2018,21C,Sunny,22-Oct-17
97,ES Troyes AC,Olympique Lyonnais,Ligue_1,97,2017-2018,10C,Cloudy,22-Oct-17
98,Olympique de Marseille,Paris Saint-Germain FC,Ligue_1,98,2017-2018,16C,Cloudy,22-Oct-17
99,Paris Saint-Germain FC,OGC Nice,Ligue_1,99,2017-2018,12C,Cloudy,27-Oct-17
100,FC Girondins de Bordeaux,AS Monaco,Ligue_1,100,2017-2018,9C,Cloudy,28-Oct-17
101,Stade Malherbe Caen,ES Troyes AC,Ligue_1,101,2017-2018,15C,Cloudy,28-Oct-17
102,Dijon FCO,FC Nantes,Ligue_1,102,2017-2018,8C,Cloudy,28-Oct-17
103,EA Guingamp,Amiens SCF,Ligue_1,103,2017-2018,11C,Cloudy,28-Oct-17
104,Montpellier-HSC,Stade Rennais FC,Ligue_1,104,2017-2018,21C,Sunny,28-Oct-17
105,RC Strasbourg,Angers SCO,Ligue_1,105,2017-2018,10C,Cloudy,28-Oct-17
106,Olympique Lyonnais,FC Metz,Ligue_1,106,2017-2018,11C,Cloudy,29-Oct-17
107,Toulouse FC,AS Saint-Etienne,Ligue_1,107,2017-2018,15C,Cloudy,29-Oct-17
108,Lille OSC,Olympique de Marseille,Ligue_1,108,2017-2018,12C,Cloudy,29-Oct-17
109,Stade Rennais FC,FC Girondins de Bordeaux,Ligue_1,109,2017-2018,10C,Cloudy,03-Nov-17
110,Angers SCO,Paris Saint-Germain FC,Ligue_1,110,2017-2018,13C,Showers,04-Nov-17
111,AS Monaco,EA Guingamp,Ligue_1,111,2017-2018,14C,Cloudy,04-Nov-17
112,Montpellier-HSC,Amiens SCF,Ligue_1,112,2017-2018,16C,Showers,04-Nov-17
113,FC Nantes,Toulouse FC,Ligue_1,113,2017-2018,16C,Showers,04-Nov-17
114,ES Troyes AC,RC Strasbourg,Ligue_1,114,2017-2018,15C,Cloudy,04-Nov-17
115,OGC Nice,Dijon FCO,Ligue_1,115,2017-2018,16C,Sunny,05-Nov-17
116,Olympique de Marseille,Stade Malherbe Caen,Ligue_1,116,2017-2018,13C,Breezy,05-Nov-17
117,FC Metz,Lille OSC,Ligue_1,117,2017-2018,7C,Showers,05-Nov-17
118,AS Saint-Etienne,Olympique Lyonnais,Ligue_1,118,2017-2018,6C,Showers,05-Nov-17
119,Lille OSC,AS Saint-Etienne,Ligue_1,119,2017-2018,6C,Cloudy,17-Nov-17
120,Amiens SCF,AS Monaco,Ligue_1,120,2017-2018,7C,Showers,17-Nov-17
121,Paris Saint-Germain FC,FC Nantes,Ligue_1,121,2017-2018,5C,Cloudy,18-Nov-17
122,Dijon FCO,ES Troyes AC,Ligue_1,122,2017-2018,3C,Cloudy,18-Nov-17
123,EA Guingamp,Angers SCO,Ligue_1,123,2017-2018,8C,Cloudy,18-Nov-17
124,RC Strasbourg,Stade Rennais FC,Ligue_1,124,2017-2018,6C,Cloudy,18-Nov-17
125,Toulouse FC,FC Metz,Ligue_1,125,2017-2018,7C,Clear,18-Nov-17
126,Stade Malherbe Caen,OGC Nice,Ligue_1,126,2017-2018,10C,Cloudy,19-Nov-17
127,Olympique Lyonnais,Montpellier-HSC,Ligue_1,127,2017-2018,1C,Cloudy,19-Nov-17
128,FC Girondins de Bordeaux,Olympique de Marseille,Ligue_1,128,2017-2018,0C,Cloudy,19-Nov-17
129,Amiens SCF,Lille OSC,Ligue_1,129,2017-2018,16C,Cloudy,20-Nov-17
130,AS Saint-Etienne,RC Strasbourg,Ligue_1,130,2017-2018,10C,Cloudy,24-Nov-17
131,Stade Rennais FC,FC Nantes,Ligue_1,131,2017-2018,4C,Cloudy,25-Nov-17
132,Stade Malherbe Caen,FC Girondins de Bordeaux,Ligue_1,132,2017-2018,4C,Rain,25-Nov-17
133,Dijon FCO,Toulouse FC,Ligue_1,133,2017-2018,3C,Cloudy,25-Nov-17
