,Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Attendance,Half-time Home Goals,Half-time Away Goals,Referee,Assistant 1,Assistant 2,RoundID,MatchID,Home Team Initials,Away Team Initials,Home Team Result,Home Rank,Away Rank,Home Temp,Home Rain,Home GDP (millions),Home Population,Home GDP per Person (dollars),Away Temp,Away Rain,Away GDP (millions),Away Population,Away GDP per Person (dollars),Home Team Line,Away Team Line
33,2006,12 Jun 2006 - 21:00 ,Group E,"FIFA World Cup Stadium, Hanover",Hanover ,Italy,2,0,Ghana, ,43000.0,1,0,SIMON Carlos (BRA),TAVARES Aristeu (BRA),CORONA Ednilson (BRA),97410100,97410009,ITA,GHA,W,13,48,13.45,832.0,1937894.0,59290969.0,32684.47,27.20,1187.0,47032.0,29463643.0,1596.27,800,15000
34,2006,27 Jun 2006 - 17:00 ,Round of 16,"FIFA World Cup Stadium, Dortmund",Dortmund ,Brazil,3,0,Ghana, ,65000.0,2,0,MICHEL Lubos (SVK),Roman SLYSKO (SVK),BALKO Martin (SVK),97410200,97410055,BRA,GHA,W,1,48,24.95,1782.0,2054969.0,210867954.0,9745.29,27.20,1187.0,47032.0,29463643.0,1596.27,250,15000
35,2006,17 Jun 2006 - 18:00 ,Group E,"FIFA World Cup Stadium, Cologne",Cologne ,Czech Republic,0,2,Ghana, ,45000.0,0,1,ELIZONDO Horacio (ARG),GARCIA Dario (ARG),OTERO Rodolfo (ARG),97410100,97410026,CZE,GHA,L,2,48,7.55,677.0,213189.0,10625250.0,20064.37,27.20,1187.0,47032.0,29463643.0,1596.27,2000,15000
36,2006,17 Jun 2006 - 21:00 ,Group E,Fritz-Walter-Stadion,Kaiserslautern ,Italy,1,1,USA, ,46000.0,1,1,LARRIONDA Jorge (URU),RIAL Walter (URU),FANDINO Pablo (URU),97410100,97410025,ITA,USA,D,13,5,13.45,832.0,1937894.0,59290969.0,32684.47,8.55,715.0,19390600.0,326766748.0,59340.8,800,5000
37,2006,22 Jun 2006 - 16:00 ,Group E,Franken-Stadion,Nuremberg ,Ghana,2,1,USA, ,41000.0,2,1,MERK Markus (GER),SCHRAER Christian (GER),SALVER Jan-Hendrik (GER),97410100,97410042,GHA,USA,W,48,5,27.20,1187.0,47032.0,29463643.0,1596.27,8.55,715.0,19390600.0,326766748.0,59340.8,15000,5000
38,2006,26 Jun 2006 - 17:00 ,Round of 16,Fritz-Walter-Stadion,Kaiserslautern ,Italy,1,0,Australia, ,46000.0,0,0,MEDINA CANTALEJO Luis (ESP),GIRALDEZ CARRASCO Victoriano (ESP),MEDINA HERNANDEZ Pedro (ESP),97410200,97410053,ITA,AUS,W,13,42,13.45,832.0,1937894.0,59290969.0,32684.47,21.65,534.0,1379548.0,24772247.0,55689.26,800,10000
39,2006,18 Jun 2006 - 18:00 ,Group F,"FIFA World Cup Stadium, Munich",Munich ,Brazil,2,0,Australia, ,66000.0,0,0,MERK Markus (GER),SCHRAER Christian (GER),SALVER Jan-Hendrik (GER),97410100,97410027,BRA,AUS,W,1,42,24.95,1782.0,2054969.0,210867954.0,9745.29,21.65,534.0,1379548.0,24772247.0,55689.26,250,10000
40,2006,22 Jun 2006 - 21:00 ,Group F,Gottlieb-Daimler-Stadion,Stuttgart ,Croatia,2,2,Australia, ,52000.0,1,1,POLL Graham (ENG),SHARP Philip (ENG),TURNER Glenn (ENG),97410100,97410044,CRO,AUS,D,23,42,10.90,1113.0,54516.0,4164783.0,13089.76,21.65,534.0,1379548.0,24772247.0,55689.26,5000,10000
41,2006,30 Jun 2006 - 21:00 ,Quarter-finals,"FIFA World Cup Stadium, Hamburg",Hamburg ,Italy,3,0,Ukraine, ,50000.0,1,0,DE BLEECKERE Frank (BEL),HERMANS Peter (BEL),VROMANS Walter (BEL),97410300,97410058,ITA,UKR,W,13,45,13.45,832.0,1937894.0,59290969.0,32684.47,8.30,1875.0,109321.0,44009214.0,2484.05,800,4000
42,2006,14 Jun 2006 - 15:00 ,Group H,Zentralstadion,Leipzig ,Spain,4,0,Ukraine, ,43000.0,2,0,BUSACCA Massimo (SUI),BURAGINA Francesco (SUI),ARNET Matthias (SUI),97410100,97410015,ESP,UKR,W,5,45,13.30,636.0,1313951.0,46397452.0,28319.46,8.30,1875.0,109321.0,44009214.0,2484.05,1500,4000
