,name,age,position,ovr_rating,pot_rating
4,Gaël Clichy,29,LB,80,80
5,Luisão,33,CB,80,80
6,Raúl Meireles,31,CM,80,80
7,Igor Denisov,30,CDM,80,80
8,Xabi Prieto,31,CAMRW,80,80
9,Raffael,29,CFCAM,80,80
10,Darijo Srna,32,RB,80,80
11,Helton,36,GK,80,80
12,Andrés D'Alessandro,33,CAMRM,80,80
13,James Milner,28,RM,80,80
14,Michel Vorm,30,GK,80,81
15,Alex,37,CAMCF,80,80
16,Maicon,33,RB,80,80
17,Antonio Di Natale,36,ST,80,80
18,Cédric Carrasso,32,GK,80,80
19,Diego Benaglio,31,GK,80,80
20,Phil Jagielka,32,CB,80,80
21,Emmanuel Adebayor,30,ST,80,80
22,Patrice Evra,33,LB,80,80
23,Jermain Defoe,31,ST,80,80
24,Steven Pienaar,32,LM,80,80
25,Fabricio Coloccini,32,CB,80,80
26,Mikel Arteta,32,CDMCM,80,80
27,Walter Samuel,36,CB,80,80
28,Michael Carrick,33,CMCDM,80,80
29,Quaresma,30,RWLW,80,80
0,Gareth Barry,33,CDM,80,80
1,Frank Lampard,36,CMCDM,80,80
2,Morgan De Sanctis,37,GK,80,80
3,Tiago,33,CMCDM,80,80
4,João Pereira,30,RB,79,79
5,Raheem Sterling,19,RWLWCAM,79,85
6,Juan Jesus,23,CB,79,84
7,Kevin Volland,22,RMSTCAM,79,84
8,Cristian Tello,23,RWLW,79,83
9,Marco Verratti,21,CMCDM,79,86
10,Rodrigo,23,ST,79,85
11,Lorenzo Insigne,23,CAMCFLW,79,84
12,Enzo Pérez,28,CM,79,81
13,Dejan Lovren,25,CB,79,82
14,Phil Jones,22,CBRBCM,79,84
15,Ricardo Rodriguez,22,LBLM,79,84
16,Maxime Gonalons,25,CDM,79,82
17,Marko Baša,31,CB,79,79
18,Dedé,26,CB,79,82
19,Nicolás Otamendi,26,CB,79,83
20,Ander Herrera,25,CMCAM,79,84
21,Javier Pastore,25,LMLWCM,79,85
22,Alex Sandro,23,LB,79,84
23,Eduardo Salvio,24,RM,79,84
24,Douglas Costa,24,CAMRW,79,84
25,Guaita,27,GK,79,84
26,Giacomo Bonaventura,25,LM,79,85
27,Nicolas Nkoulou,24,CB,79,85
28,Senad Lulić,28,LMCMLB,79,83
29,Réver,29,CB,79,82
